,Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable,Price
0,Corolla,Abha,Toyota,Manual,Saudi,Standard,2013,1.4,421000,True,0
1,Yukon,Riyadh,GMC,Automatic,Saudi,Full,2014,8.0,80000,False,120000
2,Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2015,5.0,140000,False,260000
3,Optima,Hafar Al-Batin,Kia,Automatic,Saudi,Semi Full,2015,2.4,220000,False,42000
4,FJ,Riyadh,Toyota,Automatic,Saudi,Full,2020,4.0,49000,True,0
5,CX3,Abha,Mazda,Automatic,Saudi,Semi Full,2019,2.0,25000,False,58000
6,Cayenne S,Riyadh,Porsche,Automatic,Saudi,Full,2012,4.8,189000,False,85000
7,Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2016,2.4,155,False,48000
8,Avalon,Riyadh,Toyota,Automatic,Saudi,Standard,2016,3.5,110864,False,81500
9,LS,Aseer,Lexus,Automatic,Saudi,Full,1998,4.6,300,True,0
10,C300,Makkah,Chrysler,Automatic,Saudi,Full,2013,5.7,200,False,55000
11,Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2011,4.6,79000,False,145000
12,LS,Dammam,Lexus,Automatic,Saudi,Full,2008,4.6,299000,False,38000
13,FJ,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020,4.0,17000,False,140000
14,Hilux,Yanbu,Toyota,Automatic,Saudi,Full,2014,2.7,209,True,0
15,Land Cruiser,Aseer,Toyota,Manual,Gulf Arabic,Semi Full,1982,4.6,340000,True,0
16,Land Cruiser,Al-Baha,Toyota,Manual,Saudi,Semi Full,1985,2.0,30000,True,0
17,Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2019,4.6,71000,False,200000
18,Tucson,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,2.0,85000,False,65000
19,Caprice,Riyadh,Chevrolet,Automatic,Other,Standard,1983,1.0,500000,True,0
20,Sunny,Riyadh,Nissan,Manual,Saudi,Standard,2011,1.4,290,False,7000
21,Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2018,3.5,74715,False,76000
22,Land Cruiser,Hail,Toyota,Automatic,Gulf Arabic,Full,2013,4.6,250,True,0
23,Azera,Riyadh,Hyundai,Automatic,Saudi,Full,2013,3.0,284000,False,32000
24,Focus,Khobar,Ford,Automatic,Gulf Arabic,Standard,2014,1.6,98000,False,23000
25,5,Al-Baha,MG,Automatic,Saudi,Semi Full,2021,1.5,3400,False,42000
26,Spark,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,1.4,108,False,20000
27,Camry,Riyadh,Toyota,Automatic,Saudi,Semi Full,2014,1.5,350000,True,0
28,Pathfinder,Al-Ahsa,Nissan,Automatic,Saudi,Semi Full,2002,3.3,550000,False,10000
29,Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.4,204000,False,23000
30,ML,Jeddah,Mercedes,Automatic,Saudi,Semi Full,2010,3.5,139240,False,45000
31,Corolla,Jazan,Toyota,Automatic,Saudi,Semi Full,2013,1.6,296,False,30000
32,Tahoe,Riyadh,Chevrolet,Automatic,Other,Semi Full,2017,6.2,105920,False,149000
33,Yaris,Hafar Al-Batin,Toyota,Automatic,Saudi,Semi Full,2017,1.5,80000,True,0
34,Suburban,Jeddah,Chevrolet,Automatic,Other,Semi Full,2016,3.5,187000,True,0
35,A,Riyadh,Mercedes,Automatic,Other,Standard,2021,2.0,10000,False,179000
36,Altima,Aseer,Nissan,Automatic,Saudi,Full,2011,2.5,18500,False,22000
37,Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,2010,5.3,292000,False,55000
38,Traverse,Riyadh,Chevrolet,Automatic,Saudi,Standard,2012,3.6,280000,True,0
39,Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2013,5.4,270000,False,49500
40,Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2008,1.7,345500,True,0
41,Senta fe,Riyadh,Hyundai,Automatic,Gulf Arabic,Full,2015,3.3,350000,False,52000
42,C300,Hafar Al-Batin,Chrysler,Automatic,Saudi,Full,2016,3.6,110000,True,0
43,Liberty,Al-Medina,Jeep,Automatic,Saudi,Semi Full,2012,3.7,247000,False,25000
44,3,Dammam,Mazda,Automatic,Saudi,Standard,2019,1.6,55800,True,0
45,X,Jeddah,BMW,Automatic,Saudi,Full,2015,2.0,92000,False,72000
46,Elantra,Abha,Hyundai,Automatic,Saudi,Semi Full,2020,2.0,27000,False,1010
47,Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Standard,2018,4.0,98000,False,105000
48,Elantra,Riyadh,Hyundai,Manual,Saudi,Semi Full,2011,1.6,600000,True,0
49,VTC,Riyadh,Nissan,Manual,Saudi,Semi Full,2016,4.8,307801,False,99000
50,Malibu,Abha,Chevrolet,Automatic,Saudi,Standard,2020,1.5,62000,False,57000
51,The 5,Jeddah,BMW,Automatic,Saudi,Standard,2019,2.5,38000,False,140000
52,Tucson,Al-Medina,Hyundai,Automatic,Saudi,Full,2017,2.4,89000,True,0
